"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total_5juris","Total_6juris","Aust"
"CtG14A.7","2015-2019","Mortality due to suicide","18-24 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","18-24 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","63.8","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","25-34 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","25-34 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","67.5","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","35-44 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","35-44 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","60.5","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","45+ years old","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","45+ years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","22.4","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","5-17 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","5-17 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","6.9","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","All ages","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","30.9","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","18-24 years old","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Males","18-24 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","21.1","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","25-34 years old","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Males","25-34 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","24.2","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","35-44 years old","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Males","35-44 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","28.4","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","45+ years old","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Males","45+ years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","24.8","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","5-17 years old","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Males","5-17 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","2.8","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Males","All ages","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","19.8","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","18-24 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","18-24 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","26.0","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","25-34 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","25-34 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","19.9","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","35-44 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","35-44 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","13.3","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","45+ years old","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","45+ years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","7.7","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","5-17 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","5-17 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","7.4","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","All ages","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","11.3","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","18-24 years old","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Females","18-24 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","6.4","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","25-34 years old","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Females","25-34 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","6.8","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","35-44 years old","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Females","35-44 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","8.6","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","45+ years old","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Females","45+ years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","7.7","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","5-17 years old","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Females","5-17 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","1.5","np",""
"CtG14A.7","2015-2019","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Females","All ages","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","6.2","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","18-24 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","18-24 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","60.1","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","25-34 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","25-34 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","67.0","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","35-44 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","35-44 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","56.1","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","45+ years old","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","45+ years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","21.1","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","5-17 years old","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","5-17 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","7.9","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Males","All ages","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","29.8","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","18-24 years old","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Males","18-24 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","20.5","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","25-34 years old","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Males","25-34 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","23.5","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","35-44 years old","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Males","35-44 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","28.6","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","45+ years old","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Males","45+ years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","24.6","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","5-17 years old","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Males","5-17 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","2.6","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","All ages","Males","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Males","All ages","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","19.4","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","18-24 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","18-24 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","24.8","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","25-34 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","25-34 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","19.8","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","35-44 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","35-44 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","13.6","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","45+ years old","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","45+ years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","6.7","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","5-17 years old","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","5-17 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","7.0","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","Females","All ages","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","10.8","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","18-24 years old","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Females","18-24 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","6.3","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","25-34 years old","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Females","25-34 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","6.8","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","35-44 years old","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Females","35-44 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","8.3","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","45+ years old","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Females","45+ years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","7.8","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","5-17 years old","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Females","5-17 years old","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","1.6","np",""
"CtG14A.7","2014-2018","Mortality due to suicide","All ages","Females","Non-Indigenous people","All areas","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","Females","All ages","","","ABS (unpublished) Causes of Death Australia","rate","","","","","","","","","6.2","np",""
"CtG14A.8","2019-2023","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Major cities","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Major cities","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","23.3"
"CtG14A.8","2019-2023","Mortality due to suicide","All ages","All people","Non-Indigenous people","Major cities","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Major cities","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","10.2"
"CtG14A.8","2019-2023","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Inner and outer regional","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","26.7"
"CtG14A.8","2019-2023","Mortality due to suicide","All ages","All people","Non-Indigenous people","Inner and outer regional","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","15.8"
"CtG14A.8","2019-2023","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Remote and very remote","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","33.4"
"CtG14A.8","2019-2023","Mortality due to suicide","All ages","All people","Non-Indigenous people","Remote and very remote","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","15.0"
"CtG14A.8","2018-2022","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Major cities","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Major cities","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","22.2"
"CtG14A.8","2018-2022","Mortality due to suicide","All ages","All people","Non-Indigenous people","Major cities","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Major cities","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","10.3"
"CtG14A.8","2018-2022","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Inner and outer regional","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","24.5"
"CtG14A.8","2018-2022","Mortality due to suicide","All ages","All people","Non-Indigenous people","Inner and outer regional","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","15.8"
"CtG14A.8","2018-2022","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Remote and very remote","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","32.3"
"CtG14A.8","2018-2022","Mortality due to suicide","All ages","All people","Non-Indigenous people","Remote and very remote","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","15.3"
"CtG14A.8","2017-2021","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Major cities","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Major cities","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","20.2"
"CtG14A.8","2017-2021","Mortality due to suicide","All ages","All people","Non-Indigenous people","Major cities","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Major cities","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","10.5"
"CtG14A.8","2017-2021","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Inner and outer regional","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","23.4"
"CtG14A.8","2017-2021","Mortality due to suicide","All ages","All people","Non-Indigenous people","Inner and outer regional","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","16.0"
"CtG14A.8","2017-2021","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Remote and very remote","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","31.4"
"CtG14A.8","2017-2021","Mortality due to suicide","All ages","All people","Non-Indigenous people","Remote and very remote","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","15.1"
"CtG14A.8","2016-2020","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Major cities","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Major cities","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","19.5"
"CtG14A.8","2016-2020","Mortality due to suicide","All ages","All people","Non-Indigenous people","Major cities","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Major cities","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","10.5"
"CtG14A.8","2016-2020","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Inner and outer regional","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","22.1"
"CtG14A.8","2016-2020","Mortality due to suicide","All ages","All people","Non-Indigenous people","Inner and outer regional","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","16.0"
"CtG14A.8","2016-2020","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Remote and very remote","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","30.5"
"CtG14A.8","2016-2020","Mortality due to suicide","All ages","All people","Non-Indigenous people","Remote and very remote","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","14.7"
"CtG14A.8","2015-2019","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Major cities","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Major cities","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","18.5"
"CtG14A.8","2015-2019","Mortality due to suicide","All ages","All people","Non-Indigenous people","Major cities","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Major cities","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","10.7"
"CtG14A.8","2015-2019","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Inner and outer regional","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","21.1"
"CtG14A.8","2015-2019","Mortality due to suicide","All ages","All people","Non-Indigenous people","Inner and outer regional","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","16.1"
"CtG14A.8","2015-2019","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Remote and very remote","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","29.0"
"CtG14A.8","2015-2019","Mortality due to suicide","All ages","All people","Non-Indigenous people","Remote and very remote","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","15.0"
"CtG14A.8","2014-2018","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Major cities","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Major cities","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","17.6"
"CtG14A.8","2014-2018","Mortality due to suicide","All ages","All people","Non-Indigenous people","Major cities","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Major cities","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","10.7"
"CtG14A.8","2014-2018","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Inner and outer regional","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","18.9"
"CtG14A.8","2014-2018","Mortality due to suicide","All ages","All people","Non-Indigenous people","Inner and outer regional","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","15.8"
"CtG14A.8","2014-2018","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Remote and very remote","Suicide deaths","Five-year aggregate","Rate per 100000 people","Aboriginal and Torres Strait Islander people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","29.5"
"CtG14A.8","2014-2018","Mortality due to suicide","All ages","All people","Non-Indigenous people","Remote and very remote","Suicide deaths","Five-year aggregate","Rate per 100000 people","Non-Indigenous people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","","14.9"
"CtG14A.9","2019-2023","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Major cities","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","","Major cities","","","ABS (unpublished) Causes of Death Australia","no.","135","57","103","62","50","..","10","..","","",""
"CtG14A.9","2019-2023","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Inner and outer regional","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","no.","164","55","180","40","15","22","0","31","","",""
"CtG14A.9","2019-2023","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Remote and very remote","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","no.","12","0","46","90","5","0","..","99","","",""
"CtG14A.9","2018-2022","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Major cities","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","","Major cities","","","ABS (unpublished) Causes of Death Australia","no.","125","52","99","73","35","..","10","..","","",""
"CtG14A.9","2018-2022","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Inner and outer regional","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","no.","140","55","173","34","11","14","0","32","","",""
"CtG14A.9","2018-2022","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Remote and very remote","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","no.","9","0","52","87","1","0","..","92","","",""
"CtG14A.9","2017-2021","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Major cities","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","","Major cities","","","ABS (unpublished) Causes of Death Australia","no.","112","42","90","66","32","..","11","..","","",""
"CtG14A.9","2017-2021","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Inner and outer regional","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","no.","131","45","179","27","13","11","0","29","","",""
"CtG14A.9","2017-2021","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Remote and very remote","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","no.","9","0","48","82","4","0","..","95","","",""
"CtG14A.9","2016-2020","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Major cities","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","","Major cities","","","ABS (unpublished) Causes of Death Australia","no.","103","35","95","65","27","..","10","..","","",""
"CtG14A.9","2016-2020","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Inner and outer regional","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","","Inner and outer regional","","","ABS (unpublished) Causes of Death Australia","no.","129","39","163","24","11","9","0","27","","",""
"CtG14A.9","2016-2020","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","Remote and very remote","Suicide deaths","Five-year aggregate","Number","Aboriginal and Torres Strait Islander people","","Remote and very remote","","","ABS (unpublished) Causes of Death Australia","no.","5","0","53","86","3","0","..","89","","",""
