"Table_Number","Year","Measure","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Aboriginal and Torres Strait Islander children","Highly developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","43.4","43.6","35.7","32.2","33.9","44.2","33.7","19.2","37.7"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Aboriginal and Torres Strait Islander children","Well developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","23.1","21.3","24.9","24.6","24.2","26.5","23.3","20.0","23.7"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Aboriginal and Torres Strait Islander children","Emerging strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","33.5","35.0","39.4","43.2","41.9","29.3","43.0","60.8","38.6"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Non-Indigenous children","Highly developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","58.4","60.8","53.5","55.9","54.8","59.0","51.2","48.9","57.3"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Non-Indigenous children","Well developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","22.0","21.3","23.7","23.7","23.1","21.5","23.8","25.1","22.5"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Non-Indigenous children","Emerging strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","19.6","17.9","22.8","20.4","22.1","19.5","25.0","26.0","20.2"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Total number of children in the first year of full-time schooling with a valid 'Multiple Strengths Indicator' score in the AEDC","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","no.","6271","1393","5859","2321","942","566","172","991","18515"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Total number of children in the first year of full-time schooling with a valid 'Multiple Strengths Indicator' score in the AEDC","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","no.","84103","67867","55545","31474","17995","5029","5360","1981","269354"
"SE4d.1","2021","AEDC Multiple Strengths Indicator","All people","Unknown Indigenous status","All areas","Total number of children in the first year of full-time schooling with a valid 'Multiple Strengths Indicator' score in the AEDC","","","Indigenous status not stated children","","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","no.","0","0","0","0","0","0","0","0","0"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Aboriginal and Torres Strait Islander children","Highly developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","47.3","41.4","35.9","31.7","33.6","46.8","35.8","22.3","39.0"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Aboriginal and Torres Strait Islander children","Well developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","22.6","21.6","24.2","25.7","25.4","23.9","19.5","19.3","23.3"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Aboriginal and Torres Strait Islander children","Emerging strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","30.1","37.0","40.0","42.6","40.9","29.4","44.7","58.4","37.6"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Non-Indigenous children","Highly developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","61.4","61.9","52.9","56.9","56.0","60.3","54.6","54.9","58.7"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Non-Indigenous children","Well developed strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","20.6","20.8","23.0","23.9","22.1","22.6","23.7","22.7","21.7"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Children in the first year of full-time schooling assessed against the AEDC MSI","","","Non-Indigenous children","Emerging strengths","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","%","18.0","17.3","24.1","19.2","22.0","17.1","21.8","22.4","19.6"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Aboriginal and Torres Strait Islander people","All areas","Total number of children in the first year of full-time schooling with a valid 'Multiple Strengths Indicator' score in the AEDC","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","no.","5986","1291","5416","2184","892","524","159","1080","17532"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Non-Indigenous people","All areas","Total number of children in the first year of full-time schooling with a valid 'Multiple Strengths Indicator' score in the AEDC","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","no.","87521","70568","56401","30698","18275","5321","5124","2102","276010"
"SE4d.1","2018","AEDC Multiple Strengths Indicator","All people","Unknown Indigenous status","All areas","Total number of children in the first year of full-time schooling with a valid 'Multiple Strengths Indicator' score in the AEDC","","","Indigenous status not stated children","","Australian Government Department of Education Skills and Employment (unpublished) Australian Early Development Census","no.","8","0","0","0","0","0","201","0","209"
